image_name,tag
dog.8011.jpg,dog
cat.5077.jpg,cat
dog.7322.jpg,dog
cat.2718.jpg,cat
cat.10151.jpg,cat
cat.3406.jpg,cat
dog.1753.jpg,dog
cat.4369.jpg,cat
cat.7660.jpg,cat
dog.5535.jpg,dog
cat.8553.jpg,cat
cat.9895.jpg,cat
cat.1211.jpg,cat
dog.3144.jpg,dog
dog.775.jpg,dog
dog.11102.jpg,dog
cat.6218.jpg,cat
dog.11664.jpg,dog
dog.3622.jpg,dog
cat.1577.jpg,cat
cat.12020.jpg,cat
dog.5253.jpg,dog
cat.7106.jpg,cat
cat.8235.jpg,cat
cat.952.jpg,cat
dog.9469.jpg,dog
dog.1035.jpg,dog
cat.3360.jpg,cat
cat.11529.jpg,cat
cat.10637.jpg,cat
dog.6982.jpg,dog
dog.8777.jpg,dog
dog.7444.jpg,dog
cat.5711.jpg,cat
cat.946.jpg,cat
cat.3374.jpg,cat
dog.1021.jpg,dog
dog.6996.jpg,dog
cat.10623.jpg,cat
dog.8763.jpg,dog
cat.5705.jpg,cat
dog.7450.jpg,dog
dog.12379.jpg,dog
dog.11670.jpg,dog
dog.4159.jpg,dog
cat.1563.jpg,cat
dog.3636.jpg,dog
cat.12034.jpg,cat
dog.2528.jpg,dog
cat.7112.jpg,cat
dog.5247.jpg,dog
cat.8221.jpg,cat
dog.10208.jpg,dog
dog.5521.jpg,dog
cat.7674.jpg,cat
cat.8547.jpg,cat
cat.9881.jpg,cat
dog.761.jpg,dog
dog.3150.jpg,dog
cat.1205.jpg,cat
dog.11116.jpg,dog
cat.9659.jpg,cat
dog.8005.jpg,dog
dog.7336.jpg,dog
cat.5063.jpg,cat
cat.10145.jpg,cat
dog.1747.jpg,dog
cat.3412.jpg,cat
dog.6028.jpg,dog
dog.991.jpg,dog
dog.5509.jpg,dog
dog.10220.jpg,dog
dog.2266.jpg,dog
dog.3178.jpg,dog
dog.749.jpg,dog
cat.7884.jpg,cat
cat.9671.jpg,cat
dog.4617.jpg,dog
cat.6542.jpg,cat
dog.12437.jpg,dog
cat.2724.jpg,cat
cat.11273.jpg,cat
dog.6000.jpg,dog
cat.4355.jpg,cat
dog.9333.jpg,dog
cat.4433.jpg,cat
dog.6766.jpg,dog
dog.9455.jpg,dog
cat.11515.jpg,cat
dog.8993.jpg,dog
dog.1009.jpg,dog
cat.2042.jpg,cat
dog.12351.jpg,dog
dog.7478.jpg,dog
cat.9117.jpg,cat
cat.6224.jpg,cat
dog.4171.jpg,dog
dog.11658.jpg,dog
dog.2500.jpg,dog
dog.11880.jpg,dog
cat.8209.jpg,cat
dog.10546.jpg,dog
cat.9103.jpg,cat
dog.4165.jpg,dog
cat.6230.jpg,cat
dog.2514.jpg,dog
dog.11894.jpg,dog
cat.12008.jpg,cat
dog.10552.jpg,dog
dog.6772.jpg,dog
cat.4427.jpg,cat
dog.9441.jpg,dog
cat.11501.jpg,cat
cat.3348.jpg,cat
dog.8987.jpg,dog
cat.2056.jpg,cat
cat.5739.jpg,cat
dog.12345.jpg,dog
dog.12423.jpg,dog
dog.8039.jpg,dog
cat.10179.jpg,cat
cat.2730.jpg,cat
cat.11267.jpg,cat
cat.4341.jpg,cat
dog.6014.jpg,dog
dog.9327.jpg,dog
dog.985.jpg,dog
dog.10234.jpg,dog
cat.7648.jpg,cat
dog.2272.jpg,dog
cat.1239.jpg,cat
cat.7890.jpg,cat
cat.9665.jpg,cat
cat.6556.jpg,cat
dog.4603.jpg,dog
dog.3187.jpg,dog
cat.6.jpg,cat
cat.8590.jpg,cat
dog.4830.jpg,dog
cat.9856.jpg,cat
dog.2299.jpg,dog
dog.1790.jpg,dog
cat.2903.jpg,cat
dog.1948.jpg,dog
cat.10192.jpg,cat
cat.749.jpg,cat
dog.6941.jpg,dog
dog.7487.jpg,dog
